pd_name,pd_id,pd_brand,pd_category,size_and_item,price,love_count,reviews_count,rating,highlights,description,ingredients,category
Master Mattes™ Liquid Eyeliner,P010185,MAKEUP BY MARIO,[],,,,,,,,,
Master Metallics® Eyeshadow Palette,P023187,MAKEUP BY MARIO,[],,,,,,,,,
Liquid Touch Foundation Brush,P041418,Rare Beauty by Selena Gomez,[],,,,,,,,,
Master Eye Prep & Set™,P044566,MAKEUP BY MARIO,[],,,,,,,,,
Body Lava Body Luminizer,P045468,Fenty Beauty by Rihanna,[],,,,,,,,,
Pro Filt'r Instant Retouch Primer,P048975,Fenty Beauty by Rihanna,[],,,,,,,,,
Brow Harmony Pencil & Gel,P050487,Rare Beauty by Selena Gomez,[],,,,,,,,,
EF 2 Makeup Brush,P077789,MAKEUP BY MARIO,[],,,,,,,,,
Amarige Eau de Toilette,P0782,Givenchy,[],,,,,,,,,
Pour Homme,P0901,DOLCE&GABBANA,[],,,,,,,,,
Pi Eau de Toilette,P0956,Givenchy,[],,,,,,,,,
Crushed Cabernet Body Scrub,P100101,Caudalie,[],,,,,,,,,
HYPNOSE WATERPROOF - Custom Volume Mascara,P102813,Lancôme,[],,,,,,,,,
Blush/Bronzer Duo,P104006,NARS,[],,,,,,,,,
Dior Airflash Spray Foundation,P104914,Dior,[],,,,,,,,,
Renewing Eye Cream,P107306,Murad,[],,,,,,,,,
Cleansing And Softening Shower Oil With Almond Oil,P107319,L'Occitane,[],,,,,,,,,
