brand,product_links
"gucci
","['Gucci', 'https://www.sephora.com/product/gucci-rouge-agrave-l-egrave-vres-voile-sheer-lipstick-P452737?skuId=2310027&icid2=products grid:p452737:product']"
"gucci
","['Gucci', 'https://www.sephora.com/product/gucci-flora-by-gucci-gorgeous-gardenia-eau-de-parfum-P474051?skuId=2470714&icid2=products grid:p474051:product']"
"gucci
","['Gucci', 'https://www.sephora.com/product/gucci-gucci-rouge-a-levres-mat-matte-lipstick-P453273?skuId=2310126&icid2=products grid:p453273:product']"
"gucci
","['Gucci', 'https://www.sephora.com/product/gucci-rouge-de-beaut-eacute-brillant-glow-care-lipstick-P471239?skuId=2448975&icid2=products grid:p471239:product']"
"gucci
","['Gucci', 'https://www.sephora.com/product/gucci-gucci-poudre-de-beaute-eclat-soleil-bronzing-powder-P459503?skuId=2369148&icid2=products grid:p459503:product']"
"gucci
","['Gucci', 'https://www.sephora.com/product/gucci-rouge-agrave-l-egrave-vres-satin-lipstick-P452736?skuId=2309631&icid2=products grid:p452736:product']"
"gucci
","['Gucci', 'https://www.sephora.com/product/gucci-poudre-de-beaute-mat-naturel-beauty-setting-powder-P469858?skuId=2356491&icid2=products grid:p469858:product']"
"gucci
","['Gucci', 'https://www.sephora.com/product/gucci-baume-agrave-l-egrave-vres-lip-balm-P452738?skuId=2473759&icid2=products grid:p452738:product']"
"chanel
","['CHANEL', 'https://www.sephora.com/product/chance-eau-tendre-P258612?skuId=1663632&icid2=products grid:p258612:product']"
"chanel
","['CHANEL', 'https://www.sephora.com/product/coco-mademoiselle-P12495?skuId=513168&icid2=products grid:p12495:product']"
"chanel
","['CHANEL', 'https://www.sephora.com/product/chance-eau-tendre-eau-de-parfum-P440093?skuId=2170686&icid2=products grid:p440093:product']"
"chanel
","['CHANEL', 'https://www.sephora.com/product/gabrielle-chanel-eau-de-parfum-P422299?skuId=1982610&icid2=products grid:p422299:product']"
"chanel
","['CHANEL', 'https://www.sephora.com/product/chance-P36680?skuId=625178&icid2=products grid:p36680:product']"
"chanel
","['CHANEL', 'https://www.sephora.com/product/bleu-de-chanel-P270302?skuId=1284710&icid2=products grid:p270302:product']"
"chanel
","['CHANEL', 'https://www.sephora.com/product/bleu-de-chanel-eau-de-parfum-P394949?skuId=1695972&icid2=products grid:p394949:product']"
"yves-saint-laurent
","['Yves Saint Laurent', 'https://www.sephora.com/product/rouge-volupte-shine-oil-in-stick-lipstick-P377710?skuId=2511228&icid2=products grid:p377710:product']"
"yves-saint-laurent
","['Yves Saint Laurent', 'https://www.sephora.com/product/yves-saint-laurent-candy-glaze-lip-gloss-stick-P480000?skuId=2511335&icid2=products grid:p480000:product']"
"yves-saint-laurent
","['Yves Saint Laurent', 'https://www.sephora.com/product/black-opium-P394534?skuId=1688852&icid2=products grid:p394534:product']"
"yves-saint-laurent
","['Yves Saint Laurent', 'https://www.sephora.com/product/yves-saint-laurent-black-opium-illicit-green-P479693?skuId=2546091&icid2=products grid:p479693:product']"
